"Time","i,q"
0,0
9.9999999999999995e-07,1.3755111964855084e-16
6.2009391276304546e-06,5.1145108017697128e-12
2.257586037195115e-05,4.9067468702281817e-12
0.00011578847661181208,4.1421729504232148e-12
0.00086148940653069952,-2.7094014924721489e-13
0.001388888888888848,-6.4256301607274045e-13
0.0013888888888888874,-6.4256301607274378e-13
0.0023888888888888874,-1.9128127186202355e-13
0.0033888888888888875,-1.7501503948352055e-13
0.0041666666666665478,-3.4231011284389004e-13
0.0041666666666666666,-3.4231011284390806e-13
0.0051666666666666666,-1.3058282234715498e-13
0.0061666666666666667,3.6161195368641575e-13
0.0069444444444442472,1.1694098596619098e-13
0.0069444444444444449,1.1694098596621526e-13
0.0079444444444444449,-1.6418458519963494e-13
0.0089444444444444458,-3.8041641176293669e-13
0.0097222222222219431,2.5480626659821585e-14
0.0097222222222222189,2.5480626659900736e-14
0.01072222222222222,-8.441072545218116e-14
0.011722222222222221,7.3253937239387738e-13
0.012499999999999645,-3.4274550048022732e-13
0.012500000000000001,-3.4274550048052293e-13
0.013500000000000002,-1.2676810684982183e-13
0.014500000000000002,1.1336317312299792e-13
0.015277777777777342,-1.0861195577050786e-13
0.015277777777777776,-1.086119557706065e-13
0.016277777777777776,-1.2139121081793695e-13
0.017277777777777777,-6.9276046730232032e-14
0.01805555555555504,1.6044201409502418e-14
0.018055555555555554,1.6044201409528084e-14
0.019055555555555555,1.1831763032269541e-13
0.020055555555555556,-4.4621349701093699e-14
0.020833333333332739,-7.9737444015808131e-14
0.020833333333333332,-7.9737444015795446e-14
0.021833333333333333,5.7375410832589962e-14
0.022833333333333334,2.384751838807821e-14
0.023611111111110441,-8.996572978496841e-15
0.02361111111111111,-8.9965729785002062e-15
0.024611111111111111,-4.7656639965761494e-14
0.025611111111111112,1.091692580917398e-13
0.026388888888888136,-4.6159253266313709e-14
0.026388888888888885,-4.6159253266373316e-14
0.027388888888888886,1.3121435281399621e-14
0.028388888888888887,-2.8599683153866259e-14
0.029166666666665838,1.8179311472503514e-14
